Order ID,Order Date,Ship Date,Item Type,Sales Channel,Region,Country,Units Sold,Unit Price,Unit Cost
725112521,2012-01-02,2012-02-13,Cosmetics,Online,Europe,Montenegro,5763,437.2,263.33
822838485,2012-01-02,2012-01-11,Personal Care,Online,Europe,Bosnia and Herzegovina,5048,81.73,56.67
889392888,2012-01-02,2012-01-14,Cereal,Offline,Sub-Saharan Africa,Mauritania,9975,205.7,117.11
949689376,2012-01-02,2012-01-19,Vegetables,Offline,Europe,Sweden,3045,154.06,90.93
608848845,2012-01-02,2012-02-02,Clothes,Online,Central America and the Caribbean,Jamaica,758,109.28,35.84
542176425,2012-01-02,2012-01-04,Snacks,Online,Europe,Georgia,907,152.58,97.44
176422250,2012-01-02,2012-02-21,Household,Online,Australia and Oceania,Marshall Islands,6119,668.27,502.54
463224208,2012-01-02,2012-01-31,Fruits,Online,Australia and Oceania,Nauru,7192,9.33,6.92
392694556,2012-01-02,2012-01-04,Snacks,Online,Middle East and North Africa,Bahrain,5901,152.58,97.44
716807973,2012-01-02,2012-01-21,Fruits,Online,Central America and the Caribbean,El Salvador,8263,9.33,6.92
371874177,2012-01-02,2012-02-06,Office Supplies,Offline,Sub-Saharan Africa,Botswana,4688,651.21,524.96
789502274,2012-01-02,2012-02-16,Household,Online,Middle East and North Africa,Egypt,122,668.27,502.54
714761340,2012-01-02,2012-02-16,Household,Online,Central America and the Caribbean,Costa Rica,2619,668.27,502.54
197124612,2012-01-02,2012-02-14,Household,Offline,Sub-Saharan Africa,Botswana,2408,668.27,502.54
812487304,2012-01-02,2012-01-14,Cereal,Offline,Europe,Montenegro,1903,205.7,117.11
660722768,2012-01-02,2012-02-09,Household,Offline,Sub-Saharan Africa,Comoros,1405,668.27,502.54
600426280,2012-01-02,2012-02-04,Meat,Offline,Asia,Cambodia,8334,421.89,364.69
887228238,2012-01-02,2012-01-14,Cereal,Online,Asia,Indonesia,9407,205.7,117.11
288710677,2012-01-02,2012-02-08,Cosmetics,Online,Europe,San Marino,4760,437.2,263.33
608730828,2012-01-02,2012-01-07,Vegetables,Online,Sub-Saharan Africa,Seychelles ,5834,154.06,90.93
315788972,2012-01-02,2012-01-05,Snacks,Offline,Sub-Saharan Africa,Lesotho,7829,152.58,97.44
891439521,2012-01-02,2012-02-07,Household,Online,Sub-Saharan Africa,Niger,5619,668.27,502.54
444568479,2012-01-02,2012-01-12,Snacks,Offline,Middle East and North Africa,Syria,6547,152.58,97.44
602472913,2012-01-02,2012-01-09,Cereal,Online,Asia,Japan,3978,205.7,117.11
718972623,2012-01-02,2012-01-21,Fruits,Online,Europe,Iceland,8831,9.33,6.92
623293292,2012-01-02,2012-01-28,Meat,Offline,North America,Canada,5191,421.89,364.69
986882817,2012-01-03,2012-02-01,Clothes,Offline,Middle East and North Africa,Azerbaijan,9411,109.28,35.84
583699166,2012-01-03,2012-01-16,Vegetables,Offline,Central America and the Caribbean,Belize,8409,154.06,90.93
569136703,2012-01-03,2012-02-16,Cosmetics,Online,Sub-Saharan Africa,Uganda,9053,437.2,263.33
608612811,2012-01-03,2012-02-02,Baby Food,Online,Asia,Singapore,910,255.28,159.42
238529336,2012-01-03,2012-02-01,Clothes,Online,Asia,Thailand,4986,109.28,35.84
234436070,2012-01-03,2012-02-02,Meat,Online,Asia,Myanmar,3698,421.89,364.69
741485583,2012-01-03,2012-02-08,Fruits,Online,Central America and the Caribbean,Grenada,916,9.33,6.92
163788402,2012-01-03,2012-02-01,Clothes,Online,North America,Greenland,7483,109.28,35.84
857985293,2012-01-03,2012-02-20,Office Supplies,Online,Australia and Oceania,Kiribati,5770,651.21,524.96
442285811,2012-01-03,2012-02-08,Meat,Offline,Sub-Saharan Africa,Chad,1055,421.89,364.69
712478673,2012-01-03,2012-01-24,Fruits,Online,Asia,India,7127,9.33,6.92
379942691,2012-01-03,2012-01-09,Personal Care,Online,Australia and Oceania,Vanuatu,2340,81.73,56.67
444332444,2012-01-03,2012-01-13,Cereal,Offline,Sub-Saharan Africa,Cote d'Ivoire,6699,205.7,117.11
367544877,2012-01-03,2012-02-08,Office Supplies,Offline,Asia,Sri Lanka,3552,651.21,524.96
808039987,2012-01-03,2012-02-11,Household,Online,Asia,Taiwan,5843,668.27,502.54
527495944,2012-01-03,2012-01-10,Vegetables,Online,Australia and Oceania,East Timor,6627,154.06,90.93
342513215,2012-01-03,2012-02-16,Office Supplies,Online,Sub-Saharan Africa,Mauritius ,6127,651.21,524.96
835118281,2012-01-03,2012-01-07,Vegetables,Offline,Europe,Moldova ,8912,154.06,90.93
909977233,2012-01-03,2012-02-02,Clothes,Offline,Sub-Saharan Africa,Kenya,1340,109.28,35.84
413160884,2012-01-03,2012-02-18,Cosmetics,Online,Europe,Hungary,2342,437.2,263.33
776986443,2012-01-03,2012-02-22,Cosmetics,Online,Europe,United Kingdom,6410,437.2,263.33
223966872,2012-01-03,2012-01-11,Personal Care,Offline,Europe,Portugal,5629,81.73,56.67
710432040,2012-01-03,2012-02-19,Household,Online,Asia,Bhutan,1483,668.27,502.54
756048047,2012-01-03,2012-01-09,Vegetables,Offline,Europe,Albania,273,154.06,90.93
884945571,2012-01-03,2012-02-10,Household,Online,Europe,Slovakia,3915,668.27,502.54
847516095,2012-01-03,2012-01-29,Meat,Online,Europe,Bulgaria,7701,421.89,364.69
313388288,2012-01-03,2012-01-06,Cereal,Online,Europe,Serbia,7413,205.7,117.11
614752709,2012-01-03,2012-01-06,Snacks,Offline,Middle East and North Africa,Bahrain,7843,152.58,97.44
356957662,2012-01-03,2012-02-11,Cosmetics,Offline,Sub-Saharan Africa,Democratic Republic of the Congo,559,437.2,263.33
117936360,2012-01-03,2012-01-22,Vegetables,Offline,Sub-Saharan Africa,Gabon,8845,154.06,90.93
571183335,2012-01-03,2012-01-21,Snacks,Online,Australia and Oceania,East Timor,4697,152.58,97.44
693822944,2012-01-03,2012-01-04,Beverages,Offline,Europe,Cyprus,6482,47.45,31.79
492231118,2012-01-03,2012-02-17,Cosmetics,Online,Europe,Vatican City,981,437.2,263.33
